split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,seed,model
train,0.3561595678329468,1.204331398010254,0.33297646045684814,0.9144215530903328,10.334424018859863,3.354743719100952,2.408662796020508,0.6140499365213712,42,A1'_Δkrw_usd
val,0.8649899363517761,2.735992670059204,0.8824140429496765,0.7317073170731707,15.510885238647461,7.107878684997559,5.471985340118408,0.6323529411764706,42,A1'_Δkrw_usd
test,0.4230995774269104,1.5494104623794556,0.43660813570022583,0.8973214285714286,11.906221389770508,4.1791090965271,3.098820924758911,0.6485671191553545,42,A1'_Δkrw_usd
train,0.3478660583496094,1.1854511499404907,0.323274701833725,0.9080824088748018,10.021746635437012,3.3168675899505615,2.3709022998809814,0.6267456622936944,123,A1'_Δkrw_usd
val,0.8297293186187744,2.750213146209717,0.8603371381759644,0.7414634146341463,16.516193389892578,7.137946605682373,5.500426292419434,0.6274509803921569,123,A1'_Δkrw_usd
test,0.44156938791275024,1.5595815181732178,0.4410574734210968,0.8973214285714286,12.83434772491455,4.201295375823975,3.1191630363464355,0.6274509803921569,123,A1'_Δkrw_usd
train,0.34225353598594666,1.149003028869629,0.3098493218421936,0.93026941362916,10.612478256225586,3.2300310134887695,2.298006057739258,0.6622936944561998,2024,A1'_Δkrw_usd
val,0.8366436958312988,2.746584415435791,0.9304046034812927,0.751219512195122,16.11947250366211,7.14734411239624,5.493168830871582,0.6519607843137255,2024,A1'_Δkrw_usd
test,0.44614219665527344,1.575279951095581,0.4575881361961365,0.8869047619047619,12.879586219787598,4.230835914611816,3.150559902191162,0.6153846153846154,2024,A1'_Δkrw_usd
