p,d,q,order,AIC,BIC,n_params,converged
2,0,3,"(2, 0, 3)",13941.73071369379,13982.724950693637,8,True
5,0,4,"(5, 0, 4)",13942.120568509023,14006.540083794494,12,True
2,0,2,"(2, 0, 2)",13942.856067181847,13977.993984610286,7,True
4,0,5,"(4, 0, 5)",13942.961298776885,14007.380814062357,12,True
0,0,1,"(0, 0, 1)",13945.027250865764,13962.596209579984,4,True
1,0,0,"(1, 0, 0)",13945.029725799166,13962.598684513387,4,True
2,0,0,"(2, 0, 0)",13946.791884328604,13970.21716261423,5,True
0,0,2,"(0, 0, 2)",13946.807297202944,13970.23257548857,5,True
1,0,1,"(1, 0, 1)",13947.098525469053,13970.523803754679,5,True
3,0,0,"(3, 0, 0)",13948.44715319463,13977.728751051662,6,True
0,0,3,"(0, 0, 3)",13948.465356668003,13977.746954525035,6,True
2,0,1,"(2, 0, 1)",13948.72272391706,13978.004321774093,6,True
1,0,2,"(1, 0, 2)",13948.743036017728,13978.02463387476,6,True
1,0,4,"(1, 0, 4)",13948.749088317585,13989.743325317431,8,True
4,0,1,"(4, 0, 1)",13948.869955401758,13989.864192401605,8,True
3,0,5,"(3, 0, 5)",13949.08833095073,14007.651526664797,11,True
4,0,2,"(4, 0, 2)",13949.533458303798,13996.384014875051,9,True
4,0,0,"(4, 0, 0)",13949.726679097472,13984.864596525911,7,True
0,0,4,"(0, 0, 4)",13949.759228524752,13984.897145953191,7,True
3,0,1,"(3, 0, 1)",13949.762761813163,13984.900679241602,7,True
1,0,3,"(1, 0, 3)",13949.769088199277,13984.907005627716,7,True
2,0,4,"(2, 0, 4)",13949.897018620086,13996.747575191339,9,True
4,0,4,"(4, 0, 4)",13950.51676553598,14009.079961250047,11,True
1,0,5,"(1, 0, 5)",13950.674947370533,13997.525503941786,9,True
5,0,1,"(5, 0, 1)",13950.823252639218,13997.673809210472,9,True
3,0,4,"(3, 0, 4)",13950.964948755716,14003.671824898376,10,True
4,0,3,"(4, 0, 3)",13951.06629362114,14003.7731697638,10,True
5,0,0,"(5, 0, 0)",13951.489398037767,13992.483635037614,8,True
0,0,5,"(0, 0, 5)",13951.554074342122,13992.548311341969,8,True
3,0,2,"(3, 0, 2)",13952.14057910016,13993.134816100006,8,True
5,0,5,"(5, 0, 5)",13952.301717620448,14022.577552477327,13,True
5,0,3,"(5, 0, 3)",13952.356591283351,14010.919786997418,11,True
2,0,5,"(2, 0, 5)",13952.563661064272,14005.270537206932,10,True
5,0,2,"(5, 0, 2)",13952.683277000378,14005.390153143038,10,True
3,0,3,"(3, 0, 3)",13952.938712291721,13999.789268862974,9,True
