lr,hidden,best_val_pinball,n_epochs,elapsed_s,test_pinball_q50,test_coverage_90,test_rmse_q50_bp,test_dir_acc_q50
0.0001,32,1.7657,86,51.6,1.6947,0.8289,4.5347,0.4947
0.0005,32,1.7606,29,21.0,1.6946,0.8333,4.5342,0.4947
0.001,32,1.763,18,11.1,1.6947,0.8304,4.5355,0.5053
0.005,32,1.5323,34,16.0,1.5316,0.9062,4.1189,0.6259
0.01,32,1.5327,28,11.4,1.5418,0.8765,4.148,0.638
0.0001,48,1.7658,60,30.5,1.6946,0.8289,4.5346,0.4947
0.0005,48,1.7607,29,19.2,1.6944,0.8333,4.5335,0.4947
0.001,48,1.5214,49,25.9,1.5531,0.9182,4.1756,0.6591
0.005,48,1.4914,37,17.1,1.5163,0.8839,4.1244,0.644
0.01,48,1.7079,16,8.6,1.6958,0.8661,4.5426,0.5053
0.0001,64,1.7649,47,28.4,1.6944,0.8289,4.5335,0.4947
0.0005,64,1.4986,78,66.6,1.5436,0.9152,4.1687,0.6365
0.001,64,1.4999,46,25.8,1.5524,0.9152,4.1663,0.6335
0.005,64,1.5362,28,14.9,1.543,0.875,4.145,0.6365
0.01,64,1.7,16,8.3,1.6965,0.8705,4.5468,0.5053
0.0001,96,1.7647,32,23.4,1.6943,0.8289,4.534,0.6275
0.0005,96,1.7642,16,12.6,1.6946,0.8304,4.5342,0.4947
0.001,96,1.4884,46,36.0,1.5446,0.9182,4.1707,0.6244
0.005,96,1.7048,16,10.2,1.6963,0.8705,4.5457,0.5053
0.01,96,1.688,19,12.5,1.6978,0.878,4.554,0.5053
0.0001,128,1.7619,29,24.8,1.6941,0.8333,4.5327,0.4947
0.0005,128,1.483,49,44.0,1.5748,0.9167,4.2353,0.6275
0.001,128,1.5002,35,32.6,1.556,0.9152,4.1812,0.6395
0.005,128,1.6981,16,14.1,1.6961,0.8735,4.5444,0.5053
0.01,128,1.6823,19,17.2,1.6967,0.8839,4.5476,0.5053
