split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,model,seed,n_epochs,best_val_pinball
train,0.4129071831703186,1.2767492532730103,0.40834513306617737,0.9009508716323297,11.411988258361816,3.576604127883911,2.5534985065460205,0.4875158696572154,"LSTM(q,sorted)",42,16,1.7628303936549596
val,1.164722204208374,2.8748719692230225,1.2899523973464966,0.5804878048780487,11.379120826721191,7.380646228790283,5.749743938446045,0.5441176470588235,"LSTM(q,sorted)",42,16,1.7628303936549596
test,0.5134653449058533,1.6946344375610352,0.511953592300415,0.8318452380952381,11.339197158813477,4.535207748413086,3.3892688751220703,0.5052790346907994,"LSTM(q,sorted)",42,16,1.7628303936549596
train,0.4127531945705414,1.2790515422821045,0.40795665979385376,0.9001584786053882,11.398402214050293,3.5724713802337646,2.558103084564209,0.5124841303427846,"LSTM(q,sorted)",123,13,1.7682514871869768
val,1.1216323375701904,2.887151002883911,1.3339699506759644,0.5853658536585366,11.395800590515137,7.399783611297607,5.774302005767822,0.45588235294117646,"LSTM(q,sorted)",123,13,1.7682514871869768
test,0.5059755444526672,1.6977962255477905,0.5226759910583496,0.8288690476190477,11.391128540039062,4.538144111633301,3.395592451095581,0.4947209653092006,"LSTM(q,sorted)",123,13,1.7682514871869768
train,0.4124738574028015,1.2747811079025269,0.40787607431411743,0.9001584786053882,11.419570922851562,3.5732295513153076,2.5495622158050537,0.5124841303427846,"LSTM(q,sorted)",2024,17,1.7650201320648193
val,1.1245803833007812,2.8786323070526123,1.3298428058624268,0.5853658536585366,11.396834373474121,7.386345386505127,5.757264614105225,0.45588235294117646,"LSTM(q,sorted)",2024,17,1.7650201320648193
test,0.50654536485672,1.6948648691177368,0.5219220519065857,0.8288690476190477,11.365692138671875,4.534641742706299,3.3897297382354736,0.4947209653092006,"LSTM(q,sorted)",2024,17,1.7650201320648193
