fold,strategy,total_return_%,sharpe_252,max_drawdown_%,win_rate_%,days_active,dir_acc_q50
fold1,S0_BuyHold,1.31,0.29,-3.358,50.633,237,0.5636
fold1,S1_SignQ50,-5.589,-1.222,-10.215,47.257,237,0.5636
fold1,S2_ConfFilter,-2.356,-1.146,-4.219,28.571,77,0.5636
fold1,S3_VolTarget,-4.073,-1.069,-7.718,47.257,237,0.5636
fold1,S4_DualQuantile,0.0,,0.0,,0,0.5636
fold2,S0_BuyHold,-10.398,-0.786,-18.658,47.669,472,0.5352
fold2,S1_SignQ50,-9.557,-0.717,-11.451,47.034,472,0.5352
fold2,S2_ConfFilter,-0.827,-0.135,-4.31,26.866,134,0.5352
fold2,S3_VolTarget,-6.809,-0.746,-9.889,47.034,472,0.5352
fold2,S4_DualQuantile,0.0,,0.0,,0,0.5352
fold3,S0_BuyHold,12.422,0.757,-7.21,50.642,701,0.6185
fold3,S1_SignQ50,21.821,1.376,-9.386,52.354,701,0.6185
fold3,S2_ConfFilter,13.011,1.748,-2.727,35.468,203,0.6185
fold3,S3_VolTarget,12.566,0.964,-9.569,52.496,701,0.6185
fold3,S4_DualQuantile,0.0,,0.0,,0,0.6185
POOLED,S0_BuyHold,3.334,0.097,-21.288,49.645,1410,
POOLED,S1_SignQ50,6.674,0.196,-20.823,49.716,1410,
POOLED,S2_ConfFilter,9.828,0.622,-7.957,31.401,414,
POOLED,S3_VolTarget,1.684,0.065,-16.77,49.787,1410,
POOLED,S4_DualQuantile,0.0,,0.0,,0,
