변수,n_포함,포함평균,미포함평균,Δ
delta_us10y_t1,13,0.5813867709399434,0.5012137951638274,0.08017297577611604
kr_cd_91d,18,0.5475625171770958,0.518544769234717,0.02901774794237877
kr_industrial_prod,12,0.550611062085902,0.526184988609639,0.02442607347626302
dxy,14,0.5481255759008364,0.5253065298370387,0.0228190460637977
us_treasury_2y,14,0.546331298456146,0.5268765226011428,0.019454775855003215
delta_dxy_t1,11,0.5444647863877666,0.5310289415652051,0.013435844822561549
kr_treasury_3y,14,0.5414670655594781,0.5311327263857273,0.010334339173750817
us_credit_spread,13,0.5414599111527167,0.5317460997070007,0.009713811445716036
kr_cpi,13,0.5400748833395871,0.5328052386229234,0.007269644716663692
sp500,12,0.5394993129170235,0.5335928213888915,0.005906491528131941
kr_base_rate,16,0.5361931769100718,0.5356836935316556,0.0005094833784162756
kr_mfg_bsi_outlook,12,0.5355544807076147,0.5362227095284973,-0.0006682288208825771
kr_treasury_1y,14,0.5352714777279319,0.5365538657383302,-0.001282388010398261
crisis_dummy,17,0.5345710087268353,0.5377657993575483,-0.0031947906307130403
us_cpi,15,0.5343537092240848,0.5375571267762038,-0.003203417552119059
vix,15,0.5336123686553624,0.5382984673449261,-0.004686098689563711
wti_oil,14,0.5332299015188208,0.5383402449213023,-0.00511034340248151
kr_cpi_core,12,0.5308024544160431,0.5393907270562118,-0.008588272640168704
delta_vix_t1,14,0.5312899155425386,0.5400377326505492,-0.008747817108010647
kospi,12,0.5304321706956242,0.5396375828698244,-0.009205412174200234
kr_treasury_5y,12,0.529484453565322,0.5402693942900259,-0.010784940724703818
kr_corp_aa3y,14,0.5284870699966534,0.5424902225031987,-0.014003152506545269
us_treasury_10y,15,0.5285494890074468,0.5433613469928418,-0.014811857985394972
us_breakeven_10y,13,0.5274523495967156,0.5424577644262957,-0.015005414829580066
spread_10y_t1,16,0.5258459188277106,0.5475091313400685,-0.02166321251235792
krw_usd,15,0.5222030189805297,0.5497078170197589,-0.027504798039229228
us_fed_funds,16,0.5209322689708781,0.5531247311764484,-0.03219246220557037
kr_ppi,14,0.5150747796454601,0.5542259765604929,-0.03915119691503277
