fold,period,strategy,sharpe,total_%,mdd_%,win_%,active_days,n_days
fold1,2020 코로나,S0_BuyHold,-0.29,-1.31,-4.526,49.4,237,237
fold1,2020 코로나,S1_Full,-0.031,-0.14,-8.636,49.8,237,237
fold1,2020 코로나,S2_Conf,1.092,0.529,-0.08,50.0,2,237
fold1,2020 코로나,S3_Conf_VIX,,,,,0,237
fold2,2021-22 인상기(횡보),S0_BuyHold,0.786,10.398,-10.837,52.3,472,472
fold2,2021-22 인상기(횡보),S1_Full,1.459,19.121,-5.715,51.9,472,472
fold2,2021-22 인상기(횡보),S2_Conf,0.479,1.033,-0.843,33.3,13,472
fold2,2021-22 인상기(횡보),S3_Conf_VIX,0.088,0.032,-0.201,25.0,2,472
fold3,2023-25 안정+충격,S0_BuyHold,-0.757,-12.422,-19.33,49.4,701,701
fold3,2023-25 안정+충격,S1_Full,1.94,31.066,-7.625,54.1,701,701
fold3,2023-25 안정+충격,S2_Conf,1.494,6.499,-0.631,45.1,27,701
fold3,2023-25 안정+충격,S3_Conf_VIX,1.277,5.163,-0.631,43.9,22,701
