split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,fold,seed,n_epochs,best_val_pinball,model
test,0.3844150900840759,1.3332892656326294,0.43482038378715515,0.9182692307692307,11.736867904663086,3.6963093280792236,2.666578531265259,0.5072463768115942,fold1,42,36.0,0.5730010292359761,"LSTM(q,v2)"
test,0.40040063858032227,1.2996013164520264,0.39910662174224854,0.8990384615384616,10.555196762084961,3.6636452674865723,2.5992026329040527,0.5603864734299517,fold1,123,26.0,0.5781005216496331,"LSTM(q,v2)"
test,0.43367162346839905,1.335111141204834,0.45300909876823425,0.8605769230769231,9.375005722045898,3.739529848098755,2.670222282409668,0.5024154589371981,fold1,2024,11.0,0.5798038819006511,"LSTM(q,v2)"
test,0.8823830485343933,2.0277013778686523,0.9405162334442139,0.6410835214446953,8.12193775177002,5.54992151260376,4.055402755737305,0.5863636363636363,fold2,42,30.0,0.6714041616235461,"LSTM(q,v2)"
test,0.73881596326828,2.003901720046997,0.8094175457954407,0.6681715575620768,9.237395286560059,5.501911640167236,4.007803440093994,0.6068181818181818,fold2,123,30.0,0.6468487637383598,"LSTM(q,v2)"
test,0.8462217450141907,2.014606237411499,0.8693704605102539,0.6704288939051919,9.240869522094727,5.520805358886719,4.029212474822998,0.5772727272727273,fold2,2024,33.0,0.6728726369994027,"LSTM(q,v2)"
test,0.43806275725364685,1.5856070518493652,0.4868110120296478,0.8184523809523809,10.312394142150879,4.255226135253906,3.1712141036987305,0.6546003016591252,fold3,42,36.0,1.597804171698434,"LSTM(q,v2)"
test,0.5071029663085938,1.5771070718765259,0.5658566951751709,0.7217261904761905,8.047073364257812,4.232016563415527,3.1542141437530518,0.6591251885369532,fold3,123,26.0,1.6151257583073206,"LSTM(q,v2)"
test,0.4541269838809967,1.5615155696868896,0.5321688652038574,0.7559523809523809,8.88334846496582,4.202658653259277,3.1230311393737793,0.669683257918552,fold3,2024,34.0,1.5573412690843855,"LSTM(q,v2)"
pooled,0.578406810760498,1.6939712762832642,0.6305580735206604,0.7747543461829176,9.80288314819336,4.653921127319336,3.3879425525665283,0.6083969465648855,POOLED,42,,,"LSTM(q,v2)"
pooled,0.5679153203964233,1.6763880252838135,0.6211956739425659,0.7316704459561603,8.839969635009766,4.619898796081543,3.352776050567627,0.6259541984732825,POOLED,123,,,"LSTM(q,v2)"
pooled,0.5822020173072815,1.6776357889175415,0.6326338052749634,0.7437641723356009,9.080360412597656,4.6233906745910645,3.355271577835083,0.6122137404580152,POOLED,2024,,,"LSTM(q,v2)"
