q,max_depth,learning_rate,n_iter,val_pinball
0.05,4,0.01,49,0.9653922542140007
0.05,4,0.03,87,0.9323482984762915
0.05,4,0.05,54,0.9444261829669648
0.05,4,0.1,71,0.963902231475226
0.05,5,0.01,29,0.9780087323881613
0.05,5,0.03,111,0.9547334274267528
0.05,5,0.05,48,0.9710419890819443
0.05,5,0.1,13,0.9642711921227274
0.05,6,0.01,35,0.9819680743339725
0.05,6,0.03,115,0.9743916809660746
0.05,6,0.05,10,0.97486535877244
0.05,6,0.1,30,0.9646925237036148
0.05,8,0.01,26,1.0076773751087666
0.05,8,0.03,4,1.0170902292545012
0.05,8,0.05,7,1.0082673085652853
0.05,8,0.1,13,0.9850439276043158
0.5,4,0.01,615,2.6741657341707046
0.5,4,0.03,94,2.6819264795649067
0.5,4,0.05,215,2.648268422557878
0.5,4,0.1,64,2.674409966563415
0.5,5,0.01,293,2.6940412198913744
0.5,5,0.03,329,2.648622434478626
0.5,5,0.05,130,2.6871840499204174
0.5,5,0.1,70,2.663182846894168
0.5,6,0.01,102,2.7036889517049465
0.5,6,0.03,274,2.6794578847692248
0.5,6,0.05,68,2.6918870926080176
0.5,6,0.1,85,2.6499539170633097
0.5,8,0.01,383,2.674078678721402
0.5,8,0.03,126,2.692122808398487
0.5,8,0.05,30,2.6970101378085958
0.5,8,0.1,31,2.685898027763677
0.95,4,0.01,216,1.0443241600705002
0.95,4,0.03,252,0.9984870531518232
0.95,4,0.05,42,1.0346964139612307
0.95,4,0.1,53,0.994630627846106
0.95,5,0.01,195,1.069971410474206
0.95,5,0.03,126,1.0178105207997503
0.95,5,0.05,100,1.0414850975611265
0.95,5,0.1,45,1.0796418091578355
0.95,6,0.01,344,1.010520337728353
0.95,6,0.03,70,1.0693653404610781
0.95,6,0.05,49,1.070471127053611
0.95,6,0.1,14,1.1385708319223842
0.95,8,0.01,233,1.0396963910567447
0.95,8,0.03,65,1.079896572553194
0.95,8,0.05,48,1.072029378210377
0.95,8,0.1,13,1.0927569919569875
